race_id,race_date,meeting_number,race_number,hippodrome,discipline,field_size,support_order,common_test,method,hits_top5_in_top5,hits_top5_in_top7,four_of_five_top7,five_of_five_top7,winner_at1,winner_in5,winner_in7,ndcg5,ndcg7,top7
R1C7_2026-07-11,2026-07-11,1,7,ENGHIEN,ATTELE_VOLTE,14,40,False,market,1,2,0,0,0,1,1,0.42851906600345463,0.48314868419605334,14-11-1-10-13-9-8
R1C7_2026-07-11,2026-07-11,1,7,ENGHIEN,ATTELE_VOLTE,14,40,False,logistic_v1_expanding,1,2,0,0,0,1,1,0.42851906600345463,0.48314868419605334,14-11-1-10-13-9-12
R1C7_2026-07-11,2026-07-11,1,7,ENGHIEN,ATTELE_VOLTE,14,40,False,lgbm_ranker,1,2,0,0,1,1,1,0.6791866504595295,0.7338162686521282,11-14-13-10-8-9-1
R1C7_2026-07-11,2026-07-11,1,7,ENGHIEN,ATTELE_VOLTE,14,40,False,v2_market6_plus_logit1,1,2,0,0,0,1,1,0.42851906600345463,0.48314868419605334,14-11-1-10-13-9-12
R1C3_2026-07-12,2026-07-12,1,3,DEAUVILLE,PLAT,16,41,False,market,3,4,1,0,0,0,0,0.41475686459389044,0.4366661113829075,13-10-9-4-1-5-12
R1C3_2026-07-12,2026-07-12,1,3,DEAUVILLE,PLAT,16,41,False,logistic_v1_expanding,3,4,1,0,0,0,0,0.4348368705750462,0.45674611736406334,13-9-1-4-10-5-12
R1C3_2026-07-12,2026-07-12,1,3,DEAUVILLE,PLAT,16,41,False,lgbm_ranker,3,5,1,1,0,0,1,0.41475686459389044,0.6645651082581807,13-10-9-4-6-12-7
R1C3_2026-07-12,2026-07-12,1,3,DEAUVILLE,PLAT,16,41,False,v2_market6_plus_logit1,3,4,1,0,0,0,0,0.41475686459389044,0.4366661113829075,13-10-9-4-1-5-12
R1C8_2026-07-13,2026-07-13,1,8,DIEPPE,PLAT,16,42,False,market,3,4,1,0,0,1,1,0.5591872794453482,0.5825999729564618,4-8-7-5-1-16-3
R1C8_2026-07-13,2026-07-13,1,8,DIEPPE,PLAT,16,42,False,logistic_v1_expanding,3,4,1,0,0,1,1,0.546775561291016,0.5701882548021298,4-8-1-7-5-16-3
R1C8_2026-07-13,2026-07-13,1,8,DIEPPE,PLAT,16,42,False,lgbm_ranker,3,3,0,0,0,1,1,0.6936589879391979,0.6936589879391979,8-4-5-7-16-2-9
