race_id,race_date,period,discipline,consensus_count,rank_agreement,divergence,confidence,union_count,reserve_ratio,score30,score50,score70,pool_full,actual_ticket_rank,min70,hit30,hit50,hit70,adaptive_tickets,adaptive_profile,adaptive_exact_hit,stake_eur
R1C7_2026-07-11,2026-07-11,DEV30,ATTELE_VOLTE,6,0.6190476190476191,0.2380952380952381,0.6142857142857143,8,0.5649052290885604,0.8326693227091633,0.7808764940239044,0.706772908366534,False,,,False,False,False,30,CORE_30,False,60.0
R1C3_2026-07-12,2026-07-12,DEV30,PLAT,5,0.9428571428571428,0.1942857142857142,0.64,9,0.5377806722392365,0.8231075697211155,0.7784860557768924,0.702788844621514,True,4.0,4.0,True,True,True,50,EXTENSION_50,True,100.0
R1C8_2026-07-13,2026-07-13,DEV30,PLAT,5,0.6285714285714286,0.3199999999999999,0.5457142857142857,9,0.4968657980332153,0.8438247011952191,0.7848605577689243,0.7211155378486056,False,,,False,False,False,50,EXTENSION_50,False,100.0
R1C3_2026-07-14,2026-07-14,DEV30,PLAT,6,0.7857142857142857,0.1714285714285714,0.6642857142857143,8,0.4649979775553139,0.8366533864541832,0.7776892430278884,0.7258964143426294,False,,,False,False,False,30,CORE_30,False,60.0
R1C8_2026-07-15,2026-07-15,DEV30,ATTELE_AUTOSTART,5,0.8,0.2514285714285714,0.5971428571428572,9,0.5452022310992015,0.8350597609561752,0.7657370517928287,0.7147410358565738,False,,,False,False,False,50,EXTENSION_50,False,100.0
R1C8_2026-07-16,2026-07-16,DEV30,PLAT,3,0.6190476190476191,0.4952380952380952,0.4,11,0.5997688877893337,0.8398406374501992,0.7537848605577689,0.6940239043824701,False,,,False,False,False,50,EXTENSION_50,False,100.0
R1C4_2026-07-17,2026-07-17,DEV30,ATTELE_VOLTE,6,0.5714285714285716,0.2571428571428571,0.6000000000000001,8,0.5839580962049483,0.8390438247011952,0.7681274900398407,0.7099601593625499,False,,,False,False,False,30,CORE_30,False,60.0
R1C4_2026-07-18,2026-07-18,DEV30,ATTELE_AUTOSTART,6,0.6666666666666667,0.219047619047619,0.6285714285714286,8,0.5554646866251765,0.8270916334661355,0.7856573705179284,0.7123505976095618,True,10.0,10.0,True,True,True,30,CORE_30,True,60.0
R1C3_2026-07-19,2026-07-19,DEV30,PLAT,6,0.6190476190476191,0.2380952380952381,0.6142857142857143,8,0.5693161934906817,0.848605577689243,0.7689243027888446,0.7035856573705179,False,,,False,False,False,30,CORE_30,False,60.0
R1C8_2026-07-20,2026-07-20,DEV30,PLAT,4,0.7857142857142857,0.3428571428571429,0.5214285714285714,10,0.5661103124687953,0.8438247011952191,0.7633466135458167,0.702788844621514,False,,,False,False,False,50,EXTENSION_50,False,100.0
